2023-02-04 08:26:22,859: Fetching Zamorak Stats for Group Size = 5
2023-02-04 08:37:11,755: Total Teams: 642
2023-02-04 08:37:11,755: Total Unique Players: 1086
+--------------+-------+----------------+
|     Name     | Count | Highest Enrage |
|  Lost Puppy  |   1   |      500       |
| donkeytits72 |   1   |      500       |
|   Moodwan    |   1   |      500       |
|    Bal jr    |   1   |      500       |
|  sup fella   |   1   |      500       |
| King Geordie |   1   |      500       |
|    IM Ram    |   1   |      500       |
|  Emo Aaron   |   1   |      500       |
|      Zu      |   1   |      500       |
|    Kando     |   1   |      500       |
|    Yoloo     |   1   |      500       |
| Army Deluxe  |   1   |      500       |
| Shadow D Ace |   1   |      500       |
|    Speedi    |   1   |      500       |
|     Yao      |   1   |      500       |
|    Yoram     |   1   |      500       |
| flatwiener69 |   1   |      500       |
|    Karmy     |   1   |      500       |
|   Kamista    |   1   |      500       |
|   El Maroc   |   1   |      500       |
|   Splashki   |   1   |      500       |
|   Im Jonas   |   1   |      500       |
|   Shidouu    |   1   |      500       |
|  Zeref btw   |   1   |      500       |
|    Casquo    |   1   |      500       |
| Mr Branbran  |   1   |      500       |
|   Leendert   |   1   |      500       |
| Shilo Spoon  |   1   |      500       |
| Praecognitio |   1   |      500       |
| wnd_hunter69 |   1   |      500       |
|  Holy Legos  |   1   |      500       |
| ArchyironEZK |   1   |      500       |
|     DBP      |   1   |      500       |
|     A 75     |   1   |      500       |
|   Sontoty    |   1   |      500       |
|     Dove     |   1   |      500       |
|   Firenze    |   1   |      500       |
|     Ryno     |   1   |      500       |
|    A liah    |   1   |      500       |
|   Chipette   |   1   |      500       |
|    iGuish    |   1   |      500       |
|    Atroz     |   1   |      500       |
|    Milee     |   1   |      500       |
|  Archernix   |   1   |      500       |
|    Sekani    |   1   |      500       |
| Braccus Rex  |   1   |      500       |
| ijzerenmeow  |   1   |      500       |
|  Siuuuicide  |   1   |      500       |
|   cept me    |   1   |      500       |
|   M8 of 48   |   1   |      500       |
|  Drag 2778   |   1   |      500       |
|   Kalif 9    |   1   |      500       |
|   delevuu    |   1   |      500       |
| Salty Hitch  |   1   |      500       |
| October 20th |   1   |      500       |
|   Sastrix    |   1   |      500       |
|    Zo op     |   1   |      500       |
| AFloppyClock |   1   |      500       |
|   Floor 23   |   1   |      500       |
|     Bcn      |   1   |      500       |
|     Plaz     |   1   |      500       |
|    Grico     |   1   |      500       |
|   FlySell    |   1   |      500       |
| xSad Shadow  |   1   |      500       |
|   Shuunsui   |   1   |      500       |
| Retired PvP  |   1   |      500       |
| Gielinor Bae |   1   |      500       |
|    Atyrex    |   1   |      500       |
|  Angel Paul  |   1   |      500       |
|    Symego    |   1   |      500       |
|   Poohies    |   1   |      500       |
|  Leslie-e-e  |   1   |      500       |
|  FlameRAF69  |   1   |      499       |
|    Fatall    |   1   |      499       |
|  Seedicidal  |   1   |      499       |
|  Flamestar   |   1   |      499       |
|    Bergs     |   1   |      499       |
|   Sportpix   |   1   |      499       |
|   Mz30fast   |   1   |      469       |
|   Crickets   |   1   |      460       |
|  Trav is Me  |   1   |      450       |
| Ragewarrior  |   1   |      420       |
|  Merideous   |   1   |      400       |
| Russian Dan  |   1   |      400       |
|    Sassiy    |   1   |      400       |
|    mudie     |   1   |      400       |
|     zJoe     |   1   |      390       |
|    Bluudi    |   1   |      360       |
|   Shadofox   |   1   |      360       |
|    Melad     |   1   |      360       |
|   Addgent    |   1   |      350       |
| L u c e n a  |   1   |      350       |
|   Bushi 34   |   1   |      340       |
|  Eddard BTW  |   1   |      320       |
|  GIGA N U T  |   1   |      320       |
|   McHotty    |   1   |      320       |
|    Concho    |   1   |      320       |
|  An Strayan  |   1   |      320       |
| Fail Turtle  |   1   |      300       |
| MasterOfSlay |   1   |      300       |
| Tinyy Turtle |   1   |      300       |
|   tjittie0   |   1   |      300       |
| Visievangen1 |   1   |      300       |
|     Wolv     |   1   |      300       |
|   Zarriox    |   1   |      300       |
|    Pchem     |   1   |      300       |
|  xElusivex   |   1   |      300       |
|    woochy    |   1   |      300       |
|    bOwOlg    |   1   |      300       |
| Be Ice To Me |   1   |      300       |
| Dictator Fal |   1   |      300       |
| XxKazooiexX  |   1   |      300       |
|    Monse     |   1   |      300       |
|  Mr Snoopy   |   1   |      300       |
|   Rowan131   |   1   |      300       |
|      9w      |   1   |      300       |
|  muzzY doN   |   1   |      300       |
|     byj      |   1   |      300       |
|   lucretiA   |   1   |      300       |
| waverly earp |   1   |      300       |
| Lvl 100 Dorb |   1   |      300       |
|     Tsuk     |   1   |      300       |
| Fantm Regime |   1   |      300       |
| interstellr  |   1   |      280       |
| Jolteon btw  |   1   |      280       |
| Ole McDonald |   1   |      280       |
|  Just Boss   |   1   |      260       |
|   wotever    |   1   |      260       |
|  Stir Fried  |   1   |      260       |
|   Tuomo88    |   1   |      250       |
|  Pulp Runs   |   1   |      250       |
|  Iron Mist   |   1   |      250       |
| mini elliot  |   1   |      250       |
| Ricedaddy69  |   1   |      250       |
| Smokescreen  |   1   |      250       |
| I Fleurtje I |   1   |      250       |
|    Rosess    |   1   |      250       |
|   Wiki Wu    |   1   |      250       |
|   Bog Day    |   1   |      250       |
